ticker,name,ipo_date,current_stock_price,market_cap,sector,pe_ratio,gross_profit_margin,gross_profit,total_shares_outstanding,ps_ratio,total_revenue,revenue_growth_rate_last_year
CION,CĪON Investment,10/05/2021,13.59,771563049.5699999,Financial Services,4.951,93.554,118175000,56774323,4.812,160343000,-6.277
CLAA,Colonnade Acquisition II,03/10/2021,9.75,402187480.5,Blank Check / SPAC,0,0.0,0,41249998,0.0,0,0.0
CLAQ,CleanTech Acquisition,07/15/2021,9.94,214331250,Blank Check / SPAC,0,0.0,0,21562500,0.0,0,0.0
CLAS,Class Acceleration,01/15/2021,9.755,315513759.245,Blank Check / SPAC,0,0.0,0,32343799,0.0,0,0.0
CLAY,Chavant Capital Acquisition,07/20/2021,9.86,101558000,Blank Check / SPAC,0,0.0,0,10300000,0.0,0,0.0
CLBR,Colombier Acquisition,06/09/2021,9.74,210018750,Blank Check / SPAC,0,0.0,0,21562500,0.0,0,0.0
CLEU,China Liberal Education Holdings,05/08/2020,2.27,27996591,Consumer Defensive,10.966,24.063,2866066,12333300,5.574,5023099,0.0
CLIM,Climate Real Impact Solutions II,01/27/2021,9.84,297044990.15999997,Blank Check / SPAC,0,0.0,0,30187499,0.0,0,0.0
CLOE,Clover Leaf Capital,07/20/2021,9.98,163462420,Blank Check / SPAC,0,0.0,0,16379000,0.0,0,0.0
CLRM,Clarim Acquisition,01/29/2021,9.77,351109375,Blank Check / SPAC,0,0.0,0,35937500,0.0,0,0.0
CLST,Catalyst Bancorp,10/13/2021,13.83,73160700,Financial Services,64.744,11.763,0,5290000,7.616,9606000,0.0
CMLT,CM Life Sciences III,04/07/2021,9.96,687240000,Financial Services,0,0.0,0,69000000,0.0,0,0.0
CMPI,Checkmate Pharmaceuticals,08/07/2020,3.76,81331808,Healthcare,0,0.0,0,21630800,0.0,0,0.0
CMPS,COMPASS Pathways,09/18/2020,31.29,1305281155.29,Health Care,0,0.0,0,41715601,0.0,0,0.0
CMTG,Claros Mortgage Trust,11/03/2021,17.85,2480407814.8500004,Real Estate,12.761,46.104,0,138958421,5.883,421588000,0.0
CND,Concord Acquisition,12/08/2020,11.33,399405148.67,Blank Check / SPAC,0,0.0,0,35251999,0.0,0,0.0
CNDA,Concord Acquisition II,09/01/2021,9.83,307187500,Blank Check / SPAC,0,0.0,0,31250000,0.0,0,0.0
CNEY,CN Energy Group,02/05/2021,3.52,71523936,Basic Materials,24.276,18.794,0,20319300,5.733,12476314,0.0
CNM,Core & Main,07/23/2021,29.06,7146463736.92,Industrials,468.71,1.222,0,245920982,1.962,3642300000,0.0
CNTA,Centessa Pharmaceuticals,05/28/2021,11.84,1064426620.48,Healthcare,0,0.0,0,89900897,0.0,0,0.0
CNTB,Connect Biopharma Holdings,03/19/2021,12.11,696123974,Healthcare,0,0.0,0,57483400,0.0,0,0.0
CNTQ,Chardan NexTech Acquisition 2,08/11/2021,9.9999,134998650,Blank Check / SPAC,0,0.0,0,13500000,0.0,0,0.0
CNTX,Context Therapeutics,10/20/2021,4.45,45415000.1,Health Care,9.22,0.0,0,10205618,0.0,0,0.0
CNVY,Convey Holding Parent,06/16/2021,6.7,490401119.90000004,Healthcare,0,-0.699,0,73194197,1.498,327371000,0.0
COCO,The Vita Coco Company,10/21/2021,15.11,838546448.75,Consumer Defensive,23.6,10.635,0,55496125,2.51,334098000,0.0
COIN,Coinbase,04/14/2021,323.57,84742987853.55,Technology,24.341,8.322,0,261900015,14.3,5926094000,0.0
COLI,Colicity,02/24/2021,9.78,421762500,Blank Check / SPAC,0,0.0,0,43125000,0.0,0,0.0
COMP,Compass,04/01/2021,10.5,4093508863.5,Technology,0,-5.946,0,389857987,0.678,6039200000,0.0
CONX,CONX Corp.,10/30/2020,9.87,925608580.2599999,Blank Check / SPAC,0,0.0,0,93779998,0.0,0,0.0
COOK,Traeger,07/29/2021,15.43,1813765624.57,Consumer Cyclical,0,-7.852,0,117547999,2.437,744341000,0.0
COOL,Corner Growth Acquisition,12/17/2020,9.81,490500029.43,Blank Check / SPAC,0,0.0,0,50000003,0.0,0,0.0
CORS,Corsair Partnering,07/01/2021,9.72,262440000.00000003,Blank Check / SPAC,0,0.0,0,27000000,0.0,0,0.0
COUR,Coursera,03/31/2021,32.94,4631034369.42,Consumer Defensive,0,-32.377,0,140589993,12.073,383593000,0.0
COVA,COVA Acquisition,02/05/2021,9.75,365624990.25,Blank Check / SPAC,0,0.0,0,37499999,0.0,0,0.0
CPAA,Conyers Park III Acquisition,08/10/2021,9.85,437832500,Blank Check / SPAC,0,0.0,0,44450000,0.0,0,0.0
CPAR,Catalyst Partners Acquisition,05/18/2021,9.8,437751309.8,Blank Check / SPAC,0,0.0,0,44668501,0.0,0,0.0
CPNG,Coupang,03/11/2021,27.42,48024485896.8,Consumer Cyclical,0,-7.191,0,1751440040,2.803,17133172000,0.0
CPOP,Pop Culture Group,06/30/2021,2.35,56517495.300000004,Communication Services,21.524,16.738,7224063,24049998,3.603,15688080,0.0
CPSR,Capstar Special Purpose Acquisition,07/02/2020,9.95,343275009.95,Blank Check / SPAC,0,0.0,0,34500001,0.0,0,0.0
CPTK,Crown PropTech Acquisitions,02/09/2021,9.89,341205019.78000003,Blank Check / SPAC,0,0.0,0,34500002,0.0,0,0.0
CPUH,Compute Health Acquisition,02/05/2021,9.81,1057635778.86,Blank Check / SPAC,0,0.0,0,107812006,0.0,0,0.0
CRBU,Caribou Biosciences,07/23/2021,20.66,1243568765.34,Healthcare,0,0.0,0,60192099,0.0,0,0.0
CRCT,Cricut,03/25/2021,24,5338056192,Technology,27.304,14.736,0,222419008,4.14,1289367000,0.0
CRHC,Cohn Robbins Holdings,09/09/2020,9.91,1025684990.09,Financial Services,0,0.0,0,103499999,0.0,0,0.0
CRSR,Corsair Gaming,09/23/2020,24.98,2356712970.12,Information Technology,21.009,6.118,545840000,94343994,1.209,1949777000,32.405
CRU,Crucible Acquisition,01/05/2021,9.8,316969249.8,Blank Check / SPAC,0,0.0,0,32343801,0.0,0,0.0
CRZN,Corazon Capital V838 Monoceros,03/24/2021,9.75,248380275,Blank Check / SPAC,0,0.0,0,25474900,0.0,0,0.0
CSPR,Casper Sleep,02/06/2020,6.55,271489633.45,Consumer Cyclical,0,-16.243,278454000,41448799,0.463,586264000,23.778
CSTA,Constellation Acquisition I,01/27/2021,9.74,385947490.26,Blank Check / SPAC,0,0.0,0,39624999,0.0,0,0.0
CTAQ,Carney Technology Acquisition II,12/10/2020,9.8,510702500.00000006,Blank Check / SPAC,0,0.0,0,52112500,0.0,0,0.0
CTKB,Cytek Biosciences,07/23/2021,20.79,2780163581.58,Healthcare,2079,2.554,0,133726002,23.231,119675000,0.0
